,a2i,vowels,binary
5991,postal,2,0000000000000000000000000000111000011011111110011111010011000011101100
5992,nanosecond,4,1101110110000111011101101111111001111001011100011110111111011101100100
5993,helpful,2,0000000000000000000001101000110010111011001110000110011011101011101100
5994,arranged,3,0000000000000011000011110010111001011000011101110110011111001011100100
5995,born,1,0000000000000000000000000000000000000000001100010110111111100101101110
5997,iij,2,0000000000000000000000000000000000000000000000000110100111010011101010
5999,meth,1,0000000000000000000000000000000000000000001101101110010111101001101000
6000,interaural,5,1101001110111011101001100101111001011000011110101111001011000011101100
6001,gradient,3,0000000000000011001111110010110000111001001101001110010111011101110100
6002,mip,1,0000000000000000000000000000000000000000000000000110110111010011110000
6003,arccos,2,0000000000000000000000000000110000111100101100011110001111011111110011
6004,cbl,0,0000000000000000000000000000000000000000000000000110001111000101101100
6005,mckenna,2,0000000000000000000001101101110001111010111100101110111011011101100001
6006,meet,2,0000000000000000000000000000000000000000001101101110010111001011110100
6007,suggest,2,0000000000000000000001110011111010111001111100111110010111100111110100
6008,dye,1,0000000000000000000000000000000000000000000000000110010011110011100101
6009,assures,3,0000000000000000000001100001111001111100111110101111001011001011110011
6010,rehearsal,4,0000000111001011001011101000110010111000011110010111001111000011101100
6012,spiral,2,0000000000000000000000000000111001111100001101001111001011000011101100
6013,notably,2,0000000000000000000001101110110111111101001100001110001011011001111001
6014,embody,2,0000000000000000000000000000110010111011011100010110111111001001111001
6015,lookahead,5,0000000110110011011111101111110101111000011101000110010111000011100100
6016,psych,0,0000000000000000000000000000000000011100001110011111100111000111101000
6017,reacting,3,0000000000000011100101100101110000111000111110100110100111011101100111
6019,scores,2,0000000000000000000000000000111001111000111101111111001011001011110011
6020,trol,1,0000000000000000000000000000000000000000001110100111001011011111101100
6021,visibility,4,1110110110100111100111101001110001011010011101100110100111101001111001
6024,barron,2,0000000000000000000000000000110001011000011110010111001011011111101110
6025,courses,3,0000000000000000000001100011110111111101011110010111001111001011110011
6027,interplay,3,0000000110100111011101110100110010111100101110000110110011000011111001
6028,intact,2,0000000000000000000000000000110100111011101110100110000111000111110100
6029,extrema,3,0000000000000000000001100101111100011101001110010110010111011011100001
6030,neurocolt,4,0000000110111011001011110101111001011011111100011110111111011001110100
6031,blueprint,3,0000000110001011011001110101110010111100001110010110100111011101110100
6032,vivo,2,0000000000000000000000000000000000000000001110110110100111101101101111
6033,ciative,4,0000000000000000000001100011110100111000011110100110100111101101100101
6034,alternates,4,1100001110110011101001100101111001011011101100001111010011001011110011
6035,pendence,3,0000000000000011100001100101110111011001001100101110111011000111100101
6036,templates,3,0000000111010011001011101101111000011011001100001111010011001011110011
6037,cascade,3,0000000000000000000001100011110000111100111100011110000111001001100101
6038,governing,3,0000000110011111011111110110110010111100101101110110100111011101100111
6039,orderly,2,0000000000000000000001101111111001011001001100101111001011011001111001
6040,keeping,3,0000000000000000000001101011110010111001011110000110100111011101100111
6042,faithfully,3,1100110110000111010011110100110100011001101110101110110011011001111001
6043,notation,4,0000000000000011011101101111111010011000011110100110100111011111101110
6044,fulfilled,3,0000000110011011101011101100110011011010011101100110110011001011100100
6045,idm,1,0000000000000000000000000000000000000000000000000110100111001001101101
6046,automatic,5,0000000110000111101011110100110111111011011100001111010011010011100011
6047,empty,1,0000000000000000000000000000000000011001011101101111000011101001111001
6048,render,2,0000000000000000000000000000111001011001011101110110010011001011110010
6049,pentland,2,0000000000000011100001100101110111011101001101100110000111011101100100
6050,littman,2,0000000000000000000001101100110100111101001110100110110111000011101110
6051,northwest,2,0000000110111011011111110010111010011010001110111110010111100111110100
6052,illegal,3,0000000000000000000001101001110110011011001100101110011111000011101100
6053,proximal,3,0000000000000011100001110010110111111110001101001110110111000011101100
6054,sound,2,0000000000000000000000000000000000011100111101111111010111011101100100
6055,formu,2,0000000000000000000000000000000000011001101101111111001011011011110101
6056,membership,3,1101101110010111011011100010110010111100101110011110100011010011110000
6057,satellite,4,0000000111001111000011110100110010111011001101100110100111101001100101
6058,rewriting,3,0000000111001011001011110111111001011010011110100110100111011101100111
6059,important,3,0000000110100111011011110000110111111100101110100110000111011101110100
6060,qik,1,0000000000000000000000000000000000000000000000000111000111010011101011
6061,dolce,2,0000000000000000000000000000000000011001001101111110110011000111100101
6063,prompt,1,0000000000000000000000000000111000011100101101111110110111100001110100
6064,wanted,2,0000000000000000000000000000111011111000011101110111010011001011100100
6065,letter,2,0000000000000000000000000000110110011001011110100111010011001011110010
6066,reinforce,4,0000000111001011001011101001110111011001101101111111001011000111100101
6067,logitboost,4,1101100110111111001111101001111010011000101101111110111111100111110100
6068,melody,2,0000000000000000000000000000110110111001011101100110111111001001111001
6069,theorem,3,0000000000000000000001110100110100011001011101111111001011001011101101
6070,worked,2,0000000000000000000000000000111011111011111110010110101111001011100100
6071,complicate,4,1100011110111111011011110000110110011010011100011110000111101001100101
6072,actu,2,0000000000000000000000000000000000000000001100001110001111101001110101
6073,rgbn,0,0000000000000000000000000000000000000000001110010110011111000101101110
6074,numeral,3,0000000000000000000001101110111010111011011100101111001011000011101100
6075,retrieving,4,1110010110010111101001110010110100111001011110110110100111011101100111
6076,werbos,2,0000000000000000000000000000111011111001011110010110001011011111110011
6077,uniqueness,5,1110101110111011010011110001111010111001011101110110010111100111110011
6078,saund,2,0000000000000000000000000000000000011100111100001111010111011101100100
6079,dates,2,0000000000000000000000000000000000011001001100001111010011001011110011
6080,grid,1,0000000000000000000000000000000000000000001100111111001011010011100100
6082,spectrally,2,1110011111000011001011100011111010011100101100001110110011011001111001
6083,recovery,3,0000000000000011100101100101110001111011111110110110010111100101111001
6084,bbd,0,0000000000000000000000000000000000000000000000000110001011000101100100
6085,pushdown,2,0000000000000011100001110101111001111010001100100110111111101111101110
6086,vast,1,0000000000000000000000000000000000000000001110110110000111100111110100
6087,cervical,3,0000000000000011000111100101111001011101101101001110001111000011101100
6088,flower,2,0000000000000000000000000000110011011011001101111111011111001011110010
6090,trit,1,0000000000000000000000000000000000000000001110100111001011010011110100
6091,basin,2,0000000000000000000000000000000000011000101100001111001111010011101110
6092,fuzzy,1,0000000000000000000000000000000000011001101110101111101011110101111001
6093,frozen,2,0000000000000000000000000000110011011100101101111111101011001011101110
6094,instances,3,0000000110100111011101110011111010011000011101110110001111001011110011
6095,designed,3,0000000000000011001001100101111001111010011100111110111011001011100100
6096,adjacent,3,0000000000000011000011100100110101011000011100011110010111011101110100
6098,sigmoid,3,0000000000000000000001110011110100111001111101101110111111010011100100
6099,eleven,3,0000000000000000000000000000110010111011001100101111011011001011101110
6101,voltage,3,0000000000000000000001110110110111111011001110100110000111001111100101
6102,thc,0,0000000000000000000000000000000000000000000000000111010011010001100011
6103,spond,1,0000000000000000000000000000000000011100111110000110111111011101100100
6104,aplysia,3,0000000000000000000001100001111000011011001111001111001111010011100001
6105,radical,3,0000000000000000000001110010110000111001001101001110001111000011101100
6106,borrowed,3,0000000000000011000101101111111001011100101101111111011111001011100100
6107,axi,2,0000000000000000000000000000000000000000000000000110000111110001101001
6108,meister,3,0000000000000000000001101101110010111010011110011111010011001011110010
6109,intended,3,0000000000000011010011101110111010011001011101110110010011001011100100
6110,fires,2,0000000000000000000000000000000000011001101101001111001011001011110011
6111,comment,2,0000000000000000000001100011110111111011011101101110010111011101110100
6113,calif,2,0000000000000000000000000000000000011000111100001110110011010011100110
6114,pmax,1,0000000000000000000000000000000000000000001110000110110111000011111000
6115,houk,2,0000000000000000000000000000000000000000001101000110111111101011101011
6116,filnction,3,0000000110011011010011101100110111011000111110100110100111011111101110
